"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77"
"18" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 0 1 1 1 1 1 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"19" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 1 0 1 1 1 1 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"20" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 1 1 0 1 1 1 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"21" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 1 1 1 0 1 1 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"22" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 1 1 1 1 0 1 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"23" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 1 1 1 1 1 1 0 1 2 2 2 2 3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 3 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"24" 2 3 2 2 3 3 3 3 3 3 2 1 1 2 2 2 1 1 1 1 1 1 1 0 1 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 4 3 2 2 2 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 2 3
"25" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 1 0 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 3 4 3 2 2 1 2 3 3 2 2 3 2 2 3 3 3 2 3 2 3 3 3 1 1 1 2 2 3 3 2 3
"26" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 0 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 2 3 3 2 1 2 2 2 2 3 2 1 2 2 2 2 2 2 2 2 2 2 2 3 1 1 1 1 2 2 2 1 2
"27" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 1 2 2 2 2 2 2 2 1 1 0 1 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 1 2 3 4 3 2 1 2 1 2 2 1 1 2 2 2 2 3 2 2 2 2 2 3 3 2 2 2 2 1 3 3 2 3
"28" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 0 1 1 2 1 2 1 2 2 2 2 2 2 2 2 2 1 2 2 3 2 1 2 2 2 3 3 2 2 3 2 1 2 2 2 2 2 2 2 2 3 1 1 1 1 1 2 2 2 2
"29" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 1 0 2 3 2 2 2 2 2 2 2 2 3 3 3 3 2 1 1 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"30" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 1 1 1 1 1 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"31" 3 4 3 3 4 4 4 4 4 4 3 2 2 3 3 3 2 2 2 2 2 2 2 1 2 2 3 2 3 2 0 1 3 3 3 3 3 3 3 3 3 3 3 3 3 4 5 4 3 3 3 3 4 4 4 3 4 4 3 4 4 4 4 4 3 4 4 5 3 3 3 3 3 4 4 3 4
"32" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 1 0 2 2 2 2 2 2 2 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"33" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 2 3 2 0 2 2 2 2 2 2 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"34" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 1 2 2 3 2 2 0 2 2 2 2 2 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"35" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 1 3 2 2 2 0 1 1 1 1 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"36" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 1 3 2 2 2 1 0 1 1 1 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"37" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 1 3 2 2 2 1 1 0 1 1 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"38" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 1 3 2 2 2 1 1 1 0 1 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"39" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 2 1 3 2 2 2 1 1 1 1 0 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"40" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 0 2 2 2 3 3 4 4 3 2 2 3 2 1 3 2 1 2 2 2 2 3 2 2 2 2 2 3 3 2 2 2 2 3 3 3 2 3
"41" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 3 3 3 3 3 3 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 2 0 2 2 3 3 4 4 3 2 3 3 3 3 4 3 2 3 3 3 3 3 3 3 3 3 3 3 4 2 2 2 2 3 3 3 2 3
"42" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 2 1 1 2 2 3 3 3 3 3 3 3 3 3 3 3 2 2 0 1 3 3 4 4 3 2 2 2 2 3 3 2 1 2 1 2 2 2 2 1 2 2 2 2 2 1 1 1 1 3 3 3 1 2
"43" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 3 3 3 3 3 3 2 1 1 2 2 3 3 3 3 3 3 3 3 3 3 3 2 2 1 0 3 3 4 4 3 2 3 2 3 3 4 3 2 3 2 3 3 3 3 2 3 3 3 3 3 2 2 2 2 3 3 3 2 3
"44" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 1 1 2 2 3 2 2 2 2 2 2 2 2 3 3 3 3 0 2 3 4 3 2 2 3 2 3 3 2 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"45" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 2 2 2 1 2 3 2 2 2 2 2 2 2 2 3 3 3 3 2 0 2 4 3 2 2 3 2 3 3 3 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 2 3 3 3 3
"46" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 4 4 4 4 4 4 4 3 3 3 3 2 1 3 4 3 3 3 3 3 3 3 3 4 4 4 4 3 2 0 5 4 3 3 4 3 4 4 4 3 4 4 3 4 4 4 4 4 3 4 4 5 3 3 3 3 3 4 4 4 4
"47" 4 5 4 4 5 5 5 5 5 5 4 3 4 4 4 4 4 5 5 5 5 5 5 4 4 3 4 3 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 0 1 2 4 5 4 5 5 4 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 4 3 4 3 3 3 3
"48" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 1 0 1 3 4 3 4 4 3 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 3 2 2 2 2
"49" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 1 2 1 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 1 0 2 3 2 3 3 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1
"50" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 1 2 2 2 3 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 4 3 2 0 1 1 2 2 1 1 1 2 2 2 3 2 2 2 2 2 3 3 2 2 2 2 2 3 3 3 3
"51" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 3 3 3 3 3 3 2 1 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 3 4 5 4 3 1 0 2 3 3 2 2 2 3 3 3 4 3 3 3 3 3 4 4 2 2 2 3 3 4 4 3 4
"52" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 1 2 2 2 3 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 4 3 2 1 2 0 1 1 1 1 2 2 2 2 3 2 2 2 2 2 3 3 2 2 2 2 2 3 3 3 3
"53" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 2 3 3 3 4 3 3 3 3 3 3 3 3 1 3 3 3 3 3 4 5 4 3 2 3 1 0 2 2 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 3 4
"54" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 3 2 3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 4 3 3 4 5 4 3 2 3 1 2 0 2 2 3 3 3 3 4 3 3 3 3 3 4 4 3 3 3 3 3 4 4 4 4
"55" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 2 2 1 2 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 2 3 4 4 3 2 1 2 1 2 2 0 1 2 2 2 2 3 2 2 2 2 2 3 3 3 3 3 3 2 3 3 3 3
"56" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 1 2 2 2 2 2 2 2 2 1 1 2 2 2 3 2 2 2 2 2 2 2 2 1 2 1 2 2 2 3 3 2 1 1 2 1 2 2 1 0 1 1 1 1 2 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2
"57" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 2 2 3 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 3 3 4 4 3 2 1 2 2 3 3 2 1 0 2 2 2 3 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3
"58" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 2 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 1 2 3 3 4 3 2 1 2 3 2 3 3 2 1 2 0 1 1 2 1 1 1 1 1 2 1 2 2 2 2 3 2 2 2 2
"59" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 2 1 2 2 3 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 3 2 1 2 3 2 3 3 2 1 2 1 0 1 1 1 1 1 1 1 1 2 2 2 1 2 2 2 2 2 1
"60" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 3 3 4 3 2 1 2 3 2 3 3 2 1 2 1 1 0 1 1 1 1 1 1 1 2 2 2 2 2 3 2 2 2 2
"61" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 3 2 1 3 4 3 4 4 3 2 3 2 1 1 0 1 1 1 1 1 1 3 2 2 2 2 3 2 2 2 2
"62" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 3 3 4 3 2 1 2 3 2 3 3 2 1 2 1 1 1 1 0 1 1 1 1 1 2 2 2 2 2 3 2 2 2 2
"63" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 2 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 1 2 3 3 4 3 2 1 2 3 2 3 3 2 1 2 1 1 1 1 1 0 1 1 1 1 2 2 2 2 2 3 2 2 2 1
"64" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 3 3 4 3 2 1 2 3 2 3 3 2 1 2 1 1 1 1 1 1 0 1 1 1 2 2 2 2 2 3 2 2 2 1
"65" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 3 2 1 2 3 2 3 3 2 1 2 1 1 1 1 1 1 1 0 1 1 2 2 2 2 2 2 2 2 2 1
"66" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 2 3 3 3 3 3 3 3 3 2 2 2 3 3 4 3 3 3 3 3 3 3 3 2 3 2 3 3 3 4 3 2 1 2 3 2 3 3 2 1 2 1 1 1 1 1 1 1 1 0 1 2 2 2 2 2 3 2 2 2 1
"67" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 3 2 1 3 4 3 4 4 3 2 3 2 1 1 1 1 1 1 1 1 0 3 2 2 2 2 3 2 2 2 1
"68" 4 5 4 4 5 5 5 5 5 5 4 3 4 4 4 4 3 4 4 4 4 4 4 4 3 3 3 3 4 4 5 4 4 4 4 4 4 4 4 3 4 2 3 4 4 5 4 3 2 3 4 3 4 4 3 2 3 1 2 2 3 2 2 2 2 2 3 0 3 3 3 3 4 3 3 3 3
"69" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 1 1 2 1 2 2 3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 3 3 2 1 2 2 2 3 3 3 2 3 2 2 2 2 2 2 2 2 2 2 3 0 1 1 1 2 2 2 1 2
"70" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 1 1 2 1 2 2 3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 3 3 2 1 2 2 2 3 3 3 2 3 2 2 2 2 2 2 2 2 2 2 3 1 0 1 1 2 2 2 1 2
"71" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 1 1 2 1 2 2 3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 3 4 3 2 2 2 2 3 3 3 2 3 2 1 2 2 2 2 2 2 2 2 3 1 1 0 1 2 3 3 1 2
"72" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 3 3 3 3 3 3 3 2 2 1 2 1 2 2 3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 3 3 2 1 2 3 2 3 3 3 2 3 2 2 2 2 2 2 2 2 2 2 3 1 1 1 0 2 2 2 1 2
"73" 2 3 2 2 3 3 3 3 3 3 2 1 2 2 2 2 2 3 3 3 3 3 3 2 2 2 1 1 2 2 3 2 2 2 2 2 2 2 2 3 3 3 3 2 2 3 4 3 2 2 3 2 3 3 2 2 3 3 2 3 3 3 3 3 2 3 3 4 2 2 2 2 0 3 3 3 3
"74" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 2 1 3 4 3 4 4 3 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 3 0 1 2 2
"75" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 2 1 3 4 3 4 4 3 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 3 2 3 1 0 2 2
"76" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 3 3 3 3 3 3 2 2 1 2 2 3 3 3 3 3 3 3 3 3 3 3 2 2 1 2 3 3 4 3 2 1 3 3 3 3 4 3 2 3 2 2 2 2 2 2 2 2 2 2 3 1 1 1 1 3 2 2 0 2
"77" 3 4 3 3 4 4 4 4 4 4 3 2 3 3 3 3 3 4 4 4 4 4 4 3 3 2 3 2 3 3 4 3 3 3 3 3 3 3 3 3 3 2 3 3 3 4 3 2 1 3 4 3 4 4 3 2 3 2 1 2 2 2 1 1 1 1 1 3 2 2 2 2 3 2 2 2 0
